SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20210517,B38564108,EURN,404.0,EURONAV NV ANTWERPEN (BELGIUM),9.43
20210517,C96657116,VMAR,1230.0,VISION MARINE TECHNOLOGIES INC,7.48
20210517,D1668R123,DDAIF,450.0,DAIMLER AG,90.00
20210517,D18190898,DB,12254.0,DEUTSCHE BANK AG NAMEN AKT (DE,14.40
20210517,G0083D104,ACEVW,148.0,ACE CONVERGENCE ACQUISITION CO,1.85
20210517,G0083D112,ACEVU,45.0,ACE CONVERGENCE ACQUISITION CO,10.49
20210517,G0083D120,ACEV,94.0,ACE CONVERGENCE ACQUISITION CO,9.96
20210517,G0084W101,ADNT,7462.0,ADIENT PLC ORD SHS (IRL),48.61
20210517,G01022105,CXRXF,151.0,ADVANZ PHARMA CORP LTD,17.39
20210517,G0103T105,ACAC,1763.0,ACIES ACQUISITION CORP USD CL ,9.96
20210517,G01046104,IMPX,5725.0,AEA-BRIDGES IMPACT CORP CL A (,9.73
20210517,G01125106,AFYA,2223.0,AFYA LTD CL A COM,23.05
20210517,G0190X126,AJAXWS,4090.0,AJAX I WT EXP (CYM),1.50
20210517,G0232J101,ALUS,302129.0,ALUSSA ENERGY ACQUISITION CORP,9.94
20210517,G0232J119,ALUSWS,4680.0,ALUSSA ENERGY ACQUISITION CORP,1.70
20210517,G02602103,DOX,3499.0,AMDOCS LTD ORD,77.90
20210517,G0316P130,ASPC,765.0,ALPHA CAP ACQUISITION CO CL A ,9.74
20210517,G0370U116,ATAQWS,60.0,ALTIMAR ACQUISITION CORP III W,0.85
20210517,G03709105,ATMR,61.0,ALTIMAR ACQUISITION CORP II OR,9.80
20210517,G03709121,ATMRWS,2201.0,ALTIMAR ACQUISITION CORP II WT,1.03
20210517,G041JN106,AEHL,14611.0,ANTELOPE ENTERPRISE HLDGS LTD ,2.51
20210517,G04119122,PFDRW,200.0,PATHFINDER ACQUISITION CORP WT,0.83
20210517,G0412A102,APGB,21878.0,APOLLO STRATEGIC GROWTH CAP II,9.82
20210517,G0450A105,ACGL,363.0,ARCH CAPITAL GROUP LTD,40.19
20210517,G04561109,ACTC,55947.0,ARCLIGHT CLEAN TRANSITION CORP,13.96
20210517,G0477L126,ANACWS,292.0,ARCTOS NORTHSTAR ACQUISITION C,0.72
20210517,G05155109,ACND,33761.0,ASCENDANT DIGITAL ACQUISITION ,9.90
20210517,G05155117,ACNDWS,9832.0,ASCENDANT DIGITAL ACQUISITION ,1.39
20210517,G0535E106,APWC,856.0,ASIA PACIFIC WIRE & CABLE CORP,3.49
20210517,G05436103,ASPL,4396.0,ASPIRATIONAL CONSUMER LIFESTYL,9.88
20210517,G0602B100,ATIF,10308.0,ATIF HLDGS LTD USD ORD SHS,0.93
20210517,G0633D109,AUS,459393.0,AUSTERLITZ ACQUISITION CORP I ,9.88
20210517,G0633D117,AUSU,103356.0,AUSTERLITZ ACQUISITION CORP I ,10.24
20210517,G0633D125,AUSWS,164931.0,AUSTERLITZ ACQUISITION CORP I ,1.45
20210517,G0633U101,ASZ,38807.0,AUSTERLITZ ACQUISITION CORP II,9.77
20210517,G0633U127,ASZWS,15413.0,AUSTERLITZ ACQUISITION CORP II,1.04
20210517,G06607124,AEACW,2976.0,AUTHENTIC EQUITY ACQUISITION C,0.64
20210517,G0682V109,AVAN,2874.0,AVANTI ACQUISITION CORP CL A,9.73
20210517,G0682V125,AVANWS,4.0,AVANTI ACQUISITION CORP RED WT,0.95
20210517,G0684D305,ATHPRA,72.0,ATHENE HLDG LTD DEP SHS REPSTG,28.87
20210517,G06974102,AUIAF,800.0,AURANIA RES LTD SHS (BERMUDA) ,2.50
20210517,G0698L111,AURCU,241.0,AURORA ACQUISITION CORP UNIT 1,10.20
20210517,G0698L129,AURCW,3249.0,AURORA ACQUISITION CORP WT EXP,1.33
20210517,G07025201,EARS,501.0,AURIS MED HLDG LTD SHS (BMU)PA,3.11
20210517,G0750C108,AXTA,2539.0,AXALTA COATING SYS LTD COM SHS,32.64
20210517,G08908108,BAOS,5504.0,BAOSHENG MEDIA GROUP HLDGS LTD,3.11
20210517,G1R25Q105,BYTS,10550.0,BYTE ACQUISITION CORP,9.75
20210517,G1R25Q113,BYTSW,10112.0,BYTE ACQUISITION CORP RED WT E,0.72
20210517,G10830100,BYSI,21450.0,BEYONDSPRING INC ORD SHS (CYM),9.75
20210517,G1117K114,BIOX,645.0,BIOCERES CROP SOLUTIONS CORP. ,15.19
20210517,G1125A116,BIOTW,57.0,BIOTECH ACQUISITION CO USD RED,0.65
20210517,G1144A105,BTBT,1087.0,"BIT DIGITAL, INC. ORDINARY SHA",10.18
20210517,G1151C101,ACN,39.0,ACCENTURE PLC CL-A ORDINARY SH,288.20
20210517,G1195N113,BOACWS,1784.0,BLUESCAPE OPPORTUNITI ACQUISI ,1.43
20210517,G1261Q115,BLUAWS,2260.0,BLUERIVER ACQUISITION CORP RED,0.79
20210517,G1261Q123,BLUAU,475.0,BLUERIVER ACQUISIT CORP1 CL A ,10.01
20210517,G1355U113,BTWN,567.0,BRIDGETOWN HLDGS LTD CL A SHS ,10.02
20210517,G1466B103,BRQS,17074.0,BORQS TECHNOLOGIES INC SHS (VG,0.86
20210517,G1466R207,BORR,5208.0,BORR DRILLING LTD SHS (BERMUDA,0.93
20210517,G14838109,MIME,355.0,MIMECAST LTD ORD SHS (GBR),47.59
20210517,G16234109,BBU,1348.0,BROOKFIELD BUSINESS PARTNERS L,46.41
20210517,G16249107,BPY,81791.0,BROOKFIELD PPTY PARTNERS L P U,18.29
20210517,G16249149,BPYPP,877.0,BROOKFIELD PPTY PARTNERS LP PF,25.55
20210517,G16249164,BPYPN,787.0,BROOKFIELD PPTY PARTNERS L P C,23.70
20210517,G16252101,BIP,6963.0,BROOKFIELD INFRASTRUCTURE PART,52.72
