Date,Symbol,FTD,Price,FTD x $,T+35 Date
2021/09/30,IRNT,2569421.0,20.03,51465502.0,2021/11/04
2021/09/29,IRNT,2665348.0,26.36,70258573.0,2021/11/03
2021/09/28,IRNT,2508851.0,25.83,64803621.0,2021/11/02
2021/09/27,IRNT,2485572.0,25.76,64028334.0,2021/11/01
2021/09/24,IRNT,2526052.0,23.79,60094777.0,2021/10/29
2021/09/23,IRNT,2702974.0,29.41,79494465.0,2021/10/28
2021/09/22,IRNT,2643086.0,30.96,81829942.0,2021/10/27
2021/09/21,IRNT,2765878.0,33.34,92214372.0,2021/10/26
2021/09/20,IRNT,2901328.0,30.26,87794185.0,2021/10/25
2021/09/17,IRNT,1832160.0,41.4,75851424.0,2021/10/22
2021/09/16,IRNT,1605762.0,32.13,51593133.0,2021/10/21
2021/09/15,IRNT,1374605.0,23.32,32055788.0,2021/10/20
,,,,,
2021/09/30,ETWO,1021567.0,11.5,11748020.0,2021/11/04
2021/09/29,ETWO,1004095.0,11.7,11747911.0,2021/11/03
2021/09/28,ETWO,904095.0,11.99,10840099.0,2021/11/02
2021/09/27,ETWO,859760.0,11.98,10299924.0,2021/11/01
2021/09/24,ETWO,792137.0,12.0,9505644.0,2021/10/29
2021/09/23,ETWO,622597.0,11.78,7334192.0,2021/10/28
2021/09/22,ETWO,619921.0,11.61,7197282.0,2021/10/27
2021/09/21,ETWO,630908.0,11.52,7268060.0,2021/10/26
2021/09/20,ETWO,2128494.0,12.09,25733492.0,2021/10/25
2021/09/17,ETWO,1892653.0,12.37,23412117.0,2021/10/22
2021/09/16,ETWO,1736588.0,12.39,21516325.0,2021/10/21
2021/09/15,ETWO,1697543.0,11.82,20064958.0,2021/10/20
,,,,,
2021/09/30,UWMC,793431.0,6.76,5363593.0,2021/11/04
2021/09/29,UWMC,957058.0,6.95,6651553.0,2021/11/03
2021/09/28,UWMC,915276.0,7.06,6461848.0,2021/11/02
2021/09/27,UWMC,926256.0,6.83,6326328.0,2021/11/01
2021/09/24,UWMC,911997.0,6.92,6311019.0,2021/10/29
2021/09/23,UWMC,877755.0,6.9,6056509.0,2021/10/28
2021/09/22,UWMC,824964.0,6.86,5659253.0,2021/10/27
2021/09/21,UWMC,985715.0,6.8,6702862.0,2021/10/26
2021/09/20,UWMC,1022084.0,7.06,7215913.0,2021/10/25
2021/09/17,UWMC,1000841.0,7.24,7246088.0,2021/10/22
2021/09/16,UWMC,977043.0,7.19,7024939.0,2021/10/21
2021/09/15,UWMC,796980.0,7.08,5642618.0,2021/10/20
,,,,,
2021/09/30,MKFG,775969.0,7.01,5439542.0,2021/11/04
2021/09/29,MKFG,789200.0,7.24,5713808.0,2021/11/03
2021/09/28,MKFG,1021185.0,7.58,7740582.0,2021/11/02
2021/09/27,MKFG,889352.0,7.48,6652352.0,2021/11/01
2021/09/24,MKFG,747126.0,7.68,5737927.0,2021/10/29
2021/09/23,MKFG,1112191.0,7.62,8474895.0,2021/10/28
2021/09/22,MKFG,880063.0,7.54,6635675.0,2021/10/27
2021/09/21,MKFG,779058.0,7.77,6053280.0,2021/10/26
2021/09/20,MKFG,694623.0,7.79,5411113.0,2021/10/25
2021/09/17,MKFG,591955.0,7.68,4546214.0,2021/10/22
2021/09/16,MKFG,516264.0,7.94,4099136.0,2021/10/21
2021/09/15,MKFG,447036.0,7.56,3379592.0,2021/10/20
,,,,,
2021/09/30,EVGO,3999701.0,8.39,33557491.0,2021/11/04
2021/09/29,EVGO,2684540.0,8.75,23489725.0,2021/11/03
2021/09/28,EVGO,2339195.0,9.03,21122930.0,2021/11/02
2021/09/27,EVGO,2132239.0,8.76,18678413.0,2021/11/01
2021/09/24,EVGO,1697054.0,8.65,14679517.0,2021/10/29
2021/09/23,EVGO,1440336.0,8.1,11666721.0,2021/10/28
2021/09/22,EVGO,1242098.0,7.83,9725627.0,2021/10/27
2021/09/21,EVGO,1171272.0,7.28,8526860.0,2021/10/26
2021/09/20,EVGO,1006551.0,7.59,7639722.0,2021/10/25
2021/09/17,EVGO,888930.0,7.84,6969211.0,2021/10/22
2021/09/16,EVGO,753697.0,7.79,5871299.0,2021/10/21
2021/09/15,EVGO,375502.0,7.99,3000260.0,2021/10/20
,,,,,
2021/09/30,AMBP,470783.0,10.04,4726661.0,2021/11/04
2021/09/29,AMBP,702198.0,9.95,6986870.0,2021/11/03
2021/09/28,AMBP,839929.0,10.12,8500081.0,2021/11/02
2021/09/27,AMBP,796886.0,9.99,7960891.0,2021/11/01
2021/09/24,AMBP,824331.0,10.09,8317499.0,2021/10/29
2021/09/23,AMBP,781631.0,10.45,8168043.0,2021/10/28
2021/09/22,AMBP,1324886.0,10.14,13434344.0,2021/10/27
2021/09/21,AMBP,1391734.0,10.27,14293108.0,2021/10/26
2021/09/20,AMBP,1287789.0,10.49,13508906.0,2021/10/25
2021/09/17,AMBP,1267923.0,10.35,13123003.0,2021/10/22
2021/09/16,AMBP,1072975.0,10.52,11287697.0,2021/10/21
2021/09/15,AMBP,1745500.0,10.5,18327750.0,2021/10/20
,,,,,
2021/09/30,LCID,305729.0,26.28,8034558.0,2021/11/04
2021/09/29,LCID,262794.0,24.54,6448964.0,2021/11/03
2021/09/28,LCID,778687.0,25.89,20160206.0,2021/11/02
2021/09/27,LCID,1233007.0,25.43,31355368.0,2021/11/01
2021/09/24,LCID,2309820.0,25.42,58715624.0,2021/10/29
2021/09/23,LCID,2051224.0,24.95,51178038.0,2021/10/28
2021/09/22,LCID,2905881.0,26.81,77906669.0,2021/10/27
2021/09/21,LCID,4661010.0,24.07,112190510.0,2021/10/26
2021/09/20,LCID,2573783.0,22.96,59094057.0,2021/10/25
2021/09/17,LCID,5364909.0,21.17,113575123.0,2021/10/22
2021/09/16,LCID,4124046.0,19.91,82109755.0,2021/10/21
2021/09/15,LCID,5353901.0,18.95,101456423.0,2021/10/20
,,,,,
2021/09/30,ALIT,2502282.0,11.49,28751220.0,2021/11/04
2021/09/29,ALIT,2260097.0,11.55,26104120.0,2021/11/03
2021/09/28,ALIT,2165717.0,11.67,25273917.0,2021/11/02
2021/09/27,ALIT,5115292.0,11.71,59900069.0,2021/11/01
2021/09/24,ALIT,1752148.0,11.58,20289873.0,2021/10/29
2021/09/23,ALIT,1981430.0,11.52,22826073.0,2021/10/28
2021/09/22,ALIT,1960971.0,11.87,23276725.0,2021/10/27
2021/09/21,ALIT,1663684.0,12.11,20147213.0,2021/10/26
2021/09/20,ALIT,1344300.0,12.36,16615548.0,2021/10/25
2021/09/17,ALIT,1216992.0,12.48,15188060.0,2021/10/22
2021/09/16,ALIT,3769.0,12.5,47112.0,2021/10/21
2021/09/15,ALIT,19729.0,12.52,247007.0,2021/10/20
,,,,,
2021/09/30,HOOD,1018868.0,43.13,43943776.0,2021/11/04
2021/09/29,HOOD,748781.0,44.62,33410608.0,2021/11/03
2021/09/28,HOOD,736911.0,44.76,32984136.0,2021/11/02
2021/09/27,HOOD,957960.0,44.91,43021983.0,2021/11/01
2021/09/24,HOOD,1465084.0,45.94,67305958.0,2021/10/29
2021/09/23,HOOD,1617504.0,46.88,75828587.0,2021/10/28
2021/09/22,HOOD,1416732.0,42.29,59913596.0,2021/10/27
2021/09/21,HOOD,1324103.0,40.7,53890992.0,2021/10/26
2021/09/20,HOOD,652968.0,42.38,27672783.0,2021/10/25
2021/09/17,HOOD,557271.0,41.95,23377518.0,2021/10/22
2021/09/16,HOOD,465917.0,41.87,19507944.0,2021/10/21
2021/09/15,HOOD,386289.0,40.02,15459285.0,2021/10/20
,,,,,
2021/09/30,FFIE,227201.0,9.5,2158409.0,2021/11/04
2021/09/29,FFIE,85288.0,10.01,853732.0,2021/11/03
2021/09/28,FFIE,431145.0,10.17,4384744.0,2021/11/02
2021/09/27,FFIE,1053529.0,11.14,11736313.0,2021/11/01
2021/09/24,FFIE,2204391.0,10.67,23520851.0,2021/10/29
2021/09/23,FFIE,3233066.0,10.55,34108846.0,2021/10/28
2021/09/22,FFIE,3321524.0,10.48,34809571.0,2021/10/27
2021/09/21,FFIE,3510650.0,10.37,36405440.0,2021/10/26
2021/09/20,FFIE,531463.0,10.79,5734485.0,2021/10/25
2021/09/17,FFIE,674155.0,10.02,6755033.0,2021/10/22
