Rank,Symbol,Short Volume,Short Exempt Vol,Total Volume,% Shorted,Previous Close,1 Day Change %,Market Cap
1,XLF,9031267.0,84867.0,11095881.0,81.39,40.06,1.3979,35885535232
2,PCG,3998507.0,4107.0,5071892.0,78.84,11.65,2.1459227,26770833408
3,EEM,9087410.0,100.0,12239462.0,74.25,52.15,-0.21093118,39154896896
4,PBR,13986021.0,24864.0,19440280.0,71.94,10.05,-0.9950287,64894894080
5,EWZ,8817699.0,501.0,12351468.0,71.39,30.1,-0.0664467,6032543744
6,SPY,9625532.0,23779.0,14161506.0,67.97,453.59,-0.103618,415865372672
7,GDX,6398451.0,7706.0,9589321.0,66.72,32.73,0.79438484,N/A
8,SKLZ,7643149.0,45037.0,11504259.0,66.44,9.94,1.7102623,4074208512
9,LQD,4075070.0,8.0,6185367.0,65.88,131.78,0.40218452,38832984064
10,QQQ,7820909.0,40945.0,11875402.0,65.86,377.27,-0.8402425,147058704384
11,RIDE,3737222.0,7343.0,5710194.0,65.45,5.07,-5.71992,915403520
12,HYG,3934935.0,0.0,6019002.0,65.38,87.05,-0.24124838,16985903104
13,AMD,12653759.0,54622.0,20652012.0,61.27,119.33,0.4106242,145338056704
14,KMI,3051983.0,7333.0,5050526.0,60.43,17.53,0.798627,40049410048
15,ABEV,8396440.0,7595.0,13942692.0,60.22,2.63,-0.3802368,42390024192
16,AAL,8597413.0,46555.0,14515206.0,59.23,19.89,-3.7204616,12399892480
17,TQQQ,7744574.0,89193.0,13248128.0,58.46,144.95,-2.5319064,N/A
18,IZEA,8301237.0,172097.0,14318649.0,57.98,1.92,16.66667,138576032
19,CETX,4501064.0,207416.0,7822698.0,57.54,1.03,13.592232,24315174
20,AGEN,4470683.0,70708.0,7867046.0,56.83,5.13,-21.832355,934791232
21,CSCW,11299887.0,91281.0,19998455.0,56.5,0.5152,14.382755,67422992
22,VZ,3365104.0,5836.0,5986387.0,56.21,53.39,-0.861583,221040984064
23,BBD,12641285.0,81579.0,22591450.0,55.96,3.75,-4.0000024,34882310144
24,SDC,4951231.0,61868.0,8875600.0,55.78,5.81,-7.228917,2091928960
25,X,6179965.0,8072.0,11181880.0,55.27,22.21,3.0166597,6180551168
26,SNAP,41512340.0,1592316.0,75677755.0,54.85,75.11,-26.587673,87182401536
27,TNXP,7892367.0,90932.0,14417677.0,54.74,0.5842,-5.2550545,208864336
28,CLOV,3971036.0,82076.0,7283176.0,54.52,7.86,-4.5801544,3208762624
29,METX,25693575.0,909328.0,47223092.0,54.41,0.3207,-4.739629,39822536
30,CTIB,3169871.0,53079.0,5830935.0,54.36,2.085,27.57794,15658756
31,MARK,51844634.0,734496.0,96451455.0,53.75,0.9101,138.43535,228106064
32,BAC,5275749.0,9196.0,9842935.0,53.6,46.83,1.58018,392035794944
33,PBTS,45074906.0,617272.0,84127786.0,53.58,1.2,10.0,74281152
34,PHUN,127094411.0,4549116.0,237781840.0,53.45,1.53,471.24185,664334400
35,VXX,4458889.0,35254.0,8358564.0,53.35,21.22,2.262024,N/A
36,GROM,8725854.0,149217.0,16398335.0,53.21,3.55,28.450703,55732320
37,BENE,17485091.0,177544.0,32952709.0,53.06,10.1,15.742566,174108512
38,SNDL,39615327.0,306100.0,74659870.0,53.06,0.6985,-5.5833893,1358569984
39,TRKA,7097725.0,214145.0,13412657.0,52.92,1.64,14.634148,81917240
40,DWAC,20766028.0,130163.0,39413604.0,52.69,45.5,107.03295,3385312512
41,ATER,3628047.0,136553.0,6904460.0,52.55,8.7,-13.908047,358687840
42,PLUG,3284667.0,13776.0,6256313.0,52.5,33.67,-2.8808954,18781409280
43,ZOM,7970968.0,555855.0,15349001.0,51.93,0.5098,-2.11848,499464064
44,DATS,8708493.0,152140.0,16972089.0,51.31,8.84,2.2624412,177160496
45,KIQ,6770659.0,134588.0,13217708.0,51.22,0.7652,6.7302613,45042064
46,DWACW,9233899.0,93703.0,18154986.0,50.86,11.29,157.75024,N/A
47,TLRY,4553764.0,22456.0,9081134.0,50.15,11.56,-4.152253,5133763072
48,DKNG,4587617.0,40079.0,9163461.0,50.06,48.92,-5.744067,18601789440
49,DIDI,6136313.0,39035.0,12318557.0,49.81,9.81,-6.32009,44325576704
50,CRTD,37136784.0,520281.0,76089726.0,48.81,2.92,41.438354,56265468
