Date,New Cases,Fully Vaccinated / 100
2020-01-22,,
2020-01-23,0.0,
2020-01-24,1.0,
2020-01-25,0.0,
2020-01-26,3.0,
2020-01-27,0.0,
2020-01-28,0.0,
2020-01-29,1.0,
2020-01-30,0.0,
2020-01-31,2.0,
2020-02-01,0.0,
2020-02-02,0.0,
2020-02-03,3.0,
2020-02-04,0.0,
2020-02-05,0.0,
2020-02-06,1.0,
2020-02-07,0.0,
2020-02-08,0.0,
2020-02-09,0.0,
2020-02-10,0.0,
2020-02-11,1.0,
2020-02-12,0.0,
2020-02-13,1.0,
2020-02-14,0.0,
2020-02-15,0.0,
2020-02-16,0.0,
2020-02-17,0.0,
2020-02-18,0.0,
2020-02-19,0.0,
2020-02-20,0.0,
2020-02-21,2.0,
2020-02-22,0.0,
2020-02-23,0.0,
2020-02-24,0.0,
2020-02-25,0.0,
2020-02-26,0.0,
2020-02-27,1.0,
2020-02-28,0.0,
2020-02-29,8.0,
2020-03-01,7.0,
2020-03-02,23.0,
2020-03-03,19.0,
2020-03-04,33.0,
2020-03-05,77.0,
2020-03-06,53.0,
2020-03-07,166.0,
2020-03-08,116.0,
2020-03-09,75.0,
2020-03-10,188.0,
2020-03-11,365.0,
2020-03-12,439.0,
2020-03-13,633.0,
2020-03-14,759.0,
2020-03-15,234.0,
2020-03-16,1467.0,
2020-03-17,1833.0,
2020-03-18,2657.0,
2020-03-19,4494.0,
2020-03-20,6367.0,
2020-03-21,5995.0,
2020-03-22,8919.0,
2020-03-23,11152.0,
2020-03-24,10618.0,
2020-03-25,12127.0,
2020-03-26,17821.0,
2020-03-27,18591.0,
2020-03-28,22164.0,
2020-03-29,16127.0,
2020-03-30,22154.0,
2020-03-31,26381.0,
2020-04-01,32202.0,
2020-04-02,32345.0,
2020-04-03,32367.0,
2020-04-04,32386.0,
2020-04-05,29334.0,
2020-04-06,31933.0,
2020-04-07,30576.0,
2020-04-08,31119.0,
2020-04-09,36072.0,
2020-04-10,34277.0,
2020-04-11,29188.0,
2020-04-12,26934.0,
2020-04-13,26991.0,
2020-04-14,28414.0,
2020-04-15,25962.0,
2020-04-16,30263.0,
2020-04-17,33004.0,
2020-04-18,27933.0,
2020-04-19,25872.0,
2020-04-20,29788.0,
2020-04-21,26218.0,
2020-04-22,29071.0,
2020-04-23,33253.0,
2020-04-24,32339.0,
2020-04-25,30378.0,
2020-04-26,26573.0,
2020-04-27,23795.0,
2020-04-28,24688.0,
2020-04-29,26431.0,
2020-04-30,29157.0,
2020-05-01,34902.0,
2020-05-02,27404.0,
2020-05-03,24329.0,
2020-05-04,24238.0,
2020-05-05,24448.0,
2020-05-06,24380.0,
2020-05-07,27619.0,
2020-05-08,27134.0,
2020-05-09,24700.0,
2020-05-10,19014.0,
2020-05-11,19139.0,
2020-05-12,22887.0,
2020-05-13,20516.0,
2020-05-14,26736.0,
2020-05-15,24697.0,
2020-05-16,24285.0,
2020-05-17,18639.0,
2020-05-18,22214.0,
2020-05-19,20919.0,
2020-05-20,22795.0,
2020-05-21,25787.0,
2020-05-22,23659.0,
2020-05-23,21120.0,
2020-05-24,20306.0,
2020-05-25,18489.0,
2020-05-26,18984.0,
2020-05-27,19474.0,
2020-05-28,21723.0,
2020-05-29,24648.0,
2020-05-30,24213.0,
2020-05-31,19334.0,
2020-06-01,17005.0,
2020-06-02,21269.0,
2020-06-03,19780.0,
2020-06-04,21735.0,
2020-06-05,24912.0,
2020-06-06,21474.0,
2020-06-07,18268.0,
2020-06-08,16698.0,
2020-06-09,18008.0,
2020-06-10,21196.0,
2020-06-11,22402.0,
2020-06-12,25149.0,
2020-06-13,25126.0,
2020-06-14,19331.0,
2020-06-15,18583.0,
2020-06-16,23901.0,
2020-06-17,27215.0,
2020-06-18,28401.0,
2020-06-19,31685.0,
2020-06-20,32534.0,
2020-06-21,26067.0,
2020-06-22,31156.0,
2020-06-23,37266.0,
2020-06-24,36212.0,
2020-06-25,40260.0,
2020-06-26,46319.0,
2020-06-27,41698.0,
2020-06-28,41796.0,
2020-06-29,39700.0,
2020-06-30,48369.0,
2020-07-01,51566.0,
2020-07-02,56370.0,
2020-07-03,52617.0,
2020-07-04,48355.0,
2020-07-05,50804.0,
2020-07-06,42734.0,
2020-07-07,59128.0,
2020-07-08,59645.0,
2020-07-09,60953.0,
2020-07-10,67801.0,
2020-07-11,61258.0,
2020-07-12,60027.0,
2020-07-13,57865.0,
2020-07-14,66891.0,
2020-07-15,67938.0,
2020-07-16,76044.0,
2020-07-17,71543.0,
2020-07-18,64339.0,
2020-07-19,61255.0,
2020-07-20,60500.0,
2020-07-21,65546.0,
2020-07-22,70377.0,
2020-07-23,68732.0,
2020-07-24,73635.0,
2020-07-25,66148.0,
2020-07-26,56326.0,
2020-07-27,56859.0,
2020-07-28,63137.0,
2020-07-29,68958.0,
2020-07-30,67939.0,
2020-07-31,68414.0,
2020-08-01,58398.0,
2020-08-02,46454.0,
2020-08-03,45183.0,
2020-08-04,55268.0,
2020-08-05,55526.0,
2020-08-06,57541.0,
2020-08-07,60422.0,
2020-08-08,55106.0,
2020-08-09,48146.0,
2020-08-10,45897.0,
2020-08-11,52373.0,
2020-08-12,52728.0,
2020-08-13,51430.0,
2020-08-14,65297.0,
2020-08-15,49348.0,
2020-08-16,39910.0,
2020-08-17,35802.0,
2020-08-18,42908.0,
2020-08-19,44434.0,
2020-08-20,44577.0,
2020-08-21,48768.0,
2020-08-22,44345.0,
2020-08-23,34485.0,
2020-08-24,34905.0,
2020-08-25,40855.0,
2020-08-26,43949.0,
2020-08-27,45964.0,
2020-08-28,46510.0,
2020-08-29,44208.0,
2020-08-30,34802.0,
2020-08-31,32701.0,
2020-09-01,42813.0,
2020-09-02,40690.0,
2020-09-03,44334.0,
2020-09-04,50671.0,
2020-09-05,43386.0,
2020-09-06,30977.0,
2020-09-07,23840.0,
2020-09-08,25626.0,
2020-09-09,34600.0,
2020-09-10,35939.0,
2020-09-11,47967.0,
